feature	depth	Nsites	totalNsites	propsites
genome	431	478	1108645000	4.31157e-07
genome	432	495	1108645000	4.46491e-07
genome	433	486	1108645000	4.38373e-07
genome	434	445	1108645000	4.01391e-07
genome	435	445	1108645000	4.01391e-07
genome	436	506	1108645000	4.56413e-07
genome	437	455	1108645000	4.10411e-07
genome	438	446	1108645000	4.02293e-07
genome	439	468	1108645000	4.22137e-07
genome	440	463	1108645000	4.17627e-07
genome	441	463	1108645000	4.17627e-07
genome	442	496	1108645000	4.47393e-07
genome	443	466	1108645000	4.20333e-07
genome	444	480	1108645000	4.32961e-07
genome	445	464	1108645000	4.18529e-07
genome	446	453	1108645000	4.08607e-07
genome	447	487	1108645000	4.39275e-07
genome	448	467	1108645000	4.21235e-07
genome	449	452	1108645000	4.07705e-07
genome	450	458	1108645000	4.13117e-07
genome	451	414	1108645000	3.73429e-07
genome	452	429	1108645000	3.86959e-07
genome	453	428	1108645000	3.86057e-07
genome	454	459	1108645000	4.14019e-07
genome	455	420	1108645000	3.78841e-07
genome	456	468	1108645000	4.22137e-07
genome	457	476	1108645000	4.29353e-07
genome	458	452	1108645000	4.07705e-07
genome	459	490	1108645000	4.41981e-07
genome	460	481	1108645000	4.33863e-07
genome	461	474	1108645000	4.27549e-07
genome	462	467	1108645000	4.21235e-07
genome	463	436	1108645000	3.93273e-07
genome	464	416	1108645000	3.75233e-07
genome	465	449	1108645000	4.04999e-07
genome	466	545	1108645000	4.91591e-07
genome	467	427	1108645000	3.85155e-07
genome	468	522	1108645000	4.70845e-07
genome	469	465	1108645000	4.19431e-07
genome	470	494	1108645000	4.45589e-07
genome	471	509	1108645000	4.59119e-07
genome	472	481	1108645000	4.33863e-07
genome	473	483	1108645000	4.35667e-07
genome	474	424	1108645000	3.82449e-07
genome	475	381	1108645000	3.43663e-07
genome	476	450	1108645000	4.05901e-07
genome	477	415	1108645000	3.74331e-07
genome	478	385	1108645000	3.47271e-07
genome	479	391	1108645000	3.52683e-07
genome	480	412	1108645000	3.71625e-07
genome	481	404	1108645000	3.64409e-07
genome	482	404	1108645000	3.64409e-07
genome	483	422	1108645000	3.80645e-07
genome	484	383	1108645000	3.45467e-07
genome	485	446	1108645000	4.02293e-07
genome	486	436	1108645000	3.93273e-07
genome	487	416	1108645000	3.75233e-07
genome	488	429	1108645000	3.86959e-07
genome	489	389	1108645000	3.50879e-07
genome	490	392	1108645000	3.53585e-07
genome	491	410	1108645000	3.69821e-07
genome	492	393	1108645000	3.54487e-07
genome	493	373	1108645000	3.36447e-07
genome	494	386	1108645000	3.48173e-07
genome	495	420	1108645000	3.78841e-07
genome	496	425	1108645000	3.83351e-07
genome	497	386	1108645000	3.48173e-07
genome	498	429	1108645000	3.86959e-07
genome	499	334	1108645000	3.01269e-07
genome	500	350	1108645000	3.15701e-07
genome	501	382	1108645000	3.44565e-07
genome	502	348	1108645000	3.13897e-07
genome	503	367	1108645000	3.31035e-07
genome	504	363	1108645000	3.27427e-07
genome	505	397	1108645000	3.58095e-07
genome	506	440	1108645000	3.96881e-07
genome	507	355	1108645000	3.20211e-07
genome	508	387	1108645000	3.49075e-07
genome	509	429	1108645000	3.86959e-07
genome	510	342	1108645000	3.08485e-07
