contig,lg,Tce_F_CC22B,Tce_F_CC22C,Tce_F_CC24B,Tce_F_CC24C,Tce_F_CC25B,Tce_M_05_HM15,Tce_M_06_HM16,Tce_M_07_HM33,Tce_M_08_HM61
lgNA_ordNA_scaf801,lgNA,0.9421487603305785123966942149,0.9211432506887052341597796143,0.9356060606060606060606060606,0.8453856749311294765840220386,0.3199035812672176308539944904,2.821280991735537190082644628,2.108815426997245179063360882,2.121556473829201101928374656,2.973140495867768595041322314
lgNA_ordNA_scaf802,lgNA,19.00336134453781512605042017,13.91932773109243697478991597,14.10252100840336134453781513,9.857983193277310924369747899,12.51176470588235294117647059,30.26890756302521008403361345,25.84369747899159663865546218,20.53277310924369747899159664,22.79327731092436974789915966
lgNA_ordNA_scaf803,lgNA,9.927766732935719019218025182,6.990722332670642809807819748,4.845593108018555334658714380,3.966865473823724320742213386,4.473161033797216699801192843,13.66799204771371769383697813,18.50231941683233929754804506,14.19681908548707753479125249,17.64015904572564612326043738
lgNA_ordNA_scaf805,lgNA,0.4047802621434078643022359291,0.2860447185813415574402467232,0.1696222050886661526599845798,0.2690824980724749421742482652,0.2906707787201233616037008481,0.4525828835774865073245952197,0.4633770239013107170393215112,0.4479568234387047031611410948,0.3893600616808018504240555127
lgNA_ordNA_scaf806,lgNA,21.14595660749506903353057199,12.35009861932938856015779093,15.78007889546351084812623274,14.05621301775147928994082840,14.57297830374753451676528600,31.55917159763313609467455621,25.08382642998027613412228797,24.36390532544378698224852071,21.06015779092702169625246548
lgNA_ordNA_scaf807,lgNA,7.891820580474934036939313984,5.702286719437115215479331574,5.814863676341248900615655233,3.882585751978891820580474934,4.489006156552330694810905893,10.29463500439753737906772208,12.24054529463500439753737907,8.693491644678979771328056288,6.547493403693931398416886544
lgNA_ordNA_scaf808,lgNA,19.07137107379394441743510453,13.89629077635469550732838664,14.99360808473671206892429326,12.32093870296721951686046975,13.93294466450414836894581218,28.91496839907229559021606586,28.19071339193917319539973380,24.08285978433263463270397144,25.93314789871763196276430410
lgNA_ordNA_scaf809,lgNA,2.100824931255728689275893676,1.946837763519706691109074244,1.038496791934005499541704858,1.705774518790100824931255729,1.703941338221814848762603116,4.078826764436296975252062328,3.793767186067827681026581118,3.840513290559120073327222731,3.395967002749770852428964253
lgNA_ordNA_scaf81,lgNA,101.4371816638370118845500849,85.31409168081494057724957555,91.05772495755517826825127334,84.55942275042444821731748727,75.76825127334465195246179966,182.5967741935483870967741935,156.4091680814940577249575552,162.7478777589134125636672326,168.0322580645161290322580645
lgNA_ordNA_scaf810,lgNA,1.431338028169014084507042254,0.1725352112676056338028169014,0.3521126760563380281690140845,1.126173708920187793427230047,1.476525821596244131455399061,1.633215962441314553990610329,0.6719483568075117370892018779,0.5017605633802816901408450704,0.7517605633802816901408450704
lgNA_ordNA_scaf811,lgNA,279.8037238169123351435221102,184.5399534522885958107059736,203.4134988363072148952676493,172.4491854150504266873545384,227.1792086889061287820015516,400.3320403413498836307214895,362.5950349107835531419705198,278.1435221101629169899146625,307.4065166795965865011636928
lgNA_ordNA_scaf812,lgNA,28.77716966379984362783424550,25.82720875684128225175918686,26.24315871774824081313526192,19.78655199374511336982017201,16.63956215793588741204065676,59.99296325254104769351055512,65.98201720093823299452697420,60.10242376856919468334636435,55.37998436278342455043002346
lgNA_ordNA_scaf813,lgNA,19.07300509337860780984719864,15.09592529711375212224108659,12.98811544991511035653650255,12.59337860780984719864176570,13.34634974533106960950764007,27.90492359932088285229202037,32.59762308998302207130730051,27.13921901528013582342954160,27.40577249575551782682512733
lgNA_ordNA_scaf814,lgNA,1.032740879326473339569691300,2.922357343311506080449017774,1.111318989710009354536950421,2.437792329279700654817586529,3.913938260056127221702525725,2.833489242282507015902712816,4.569691300280636108512628625,3.489242282507015902712815716,6.353601496725912067352666043
lgNA_ordNA_scaf815,lgNA,14.49143708116157855547282204,10.58302308265078183172002978,14.63514519731943410275502606,9.303052866716306775874906925,10.69843633655994043186895011,23.38942665673864482501861504,23.99255398361876396128071482,20.58451228592702903946388682,19.46686522710349962769918094
lgNA_ordNA_scaf816,lgNA,107.4669131238447319778188540,76.58410351201478743068391867,81.21959334565619223659889094,57.01404805914972273567467652,83.13641404805914972273567468,175.3792975970425138632162662,161.0635859519408502772643253,137.0550831792975970425138632,156.0236598890942698706099815
lgNA_ordNA_scaf817,lgNA,13.66790490341753343239227340,7.576523031203566121842496285,12.26225854383358098068350669,7.510401188707280832095096582,9.757057949479940564635958395,21.83580980683506686478454681,18.23476968796433878157503715,17.56315007429420505200594354,18.10029717682020802377414562
lgNA_ordNA_scaf818,lgNA,1.515740740740740740740740741,0.8037037037037037037037037037,1.65,1.787037037037037037037037037,1.237037037037037037037037037,3.800925925925925925925925926,3.268518518518518518518518519,1.752777777777777777777777778,2.351851851851851851851851852
lgNA_ordNA_scaf819,lgNA,20.41176470588235294117647059,13.12003179650238473767885533,16.96740858505564387917329094,12.76311605723370429252782194,13.25198728139904610492845787,31.65262321144674085850556439,26.54213036565977742448330684,22.95230524642289348171701113,24
lgNA_ordNA_scaf82,lgNA,20.47583892617449664429530201,12.69060402684563758389261745,13.17583892617449664429530201,12.27114093959731543624161074,12.76711409395973154362416107,22.77382550335570469798657718,25.56979865771812080536912752,21.25570469798657718120805369,19.52080536912751677852348993
lgNA_ordNA_scaf820,lgNA,31.69818529130850047755491882,20.78892072588347659980897803,28.69531996179560649474689589,19.49570200573065902578796562,18.50334288443170964660936008,50.76217765042979942693409742,51.85195797516714422158548233,47.68672397325692454632282713,43.86914995224450811843361987
